,title,jobtype,description,location,salary,job site
35,Data Scientist,,"Proactive communication : Serves as a project expert, thought leader, and strategic advisor to business stakeholders and data science team; collaborate with all…","San Francisco, CA (North Waterfront area)",,Indeed
36,Data Science professor,,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data…","San Francisco, CA 94105+7 locations (South Beach area)","$68,250.00 ",Indeed
37,Data Analyst ,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States,,Indeed
38,Data Science professor,,"The ideal candidate will have a broad knowledge of data analytics, with a strong interest in teaching to multidisciplinary, liberal arts audiences, including…","Williamsburg, VA 23187",,Indeed
39,Data Engineer,,"Experience with data modeling, data warehousing, and building ETL pipelines.Demonstrated strength in data modeling, ETL development, and data warehousing.","New York, NY",,Indeed
40,Data Science professor,,"The ideal candidate will be able to lead our efforts at the intersection of data science, data engineering, machine learning, and statistics.","Denver, CO 80221 (Regis area)","$92,250.00 ",Indeed
41,Data Scientist,,"Basic and applied research in signal processing, theoretical modeling of physical systems, computational science or data science and deep learning.","Austin, TX 78712 (University of Texas area)",,Indeed
42,Data Analyst ,Remote,This will help our team gather enough data to teach computers to identify the same traits.Additional special projects may be assigned if time allows.,North Carolina•Remote,"$29,250.00 ",Indeed
43,Data Science professor,,"Developing data-driven methods for clinical decision support in broad areas of medicine and healthcare.Developing computational models of disease, constraining…","Portland, ME",,Indeed
44,Data Science professor,Remote,Role played by data science in different fields.Understanding the role played by statistical software in data sciences and selecting appropriate software to…,"Philadelphia, PA 19104 (Spruce Hill area)•Remote",,Indeed
45,Statistician,,"Implement best data analyses procedures.Review realistic data collection plans.Create a customized data analysis plan.Max 19 hours per week, hours vary.","Rochester, MI","$68,250.00 ",Indeed
46,Data Scientist,,Partner with data engineers to build pipelines that apply clinical logic to raw data.Become an expert in the data we collect and use that data to enable us to…,"Burlingame, CA 94010",,Indeed
47,Data Engineer,,"Working with other software engineers; Experience working with Data Scientists a plus; Experience with data science tools, ML, etc. a plus.","Seattle, WA",,Indeed
48,Data Scientist,,"BS degree in statistics, machine learning, or data science.MS degree in statistics, machine learning, or data science.",United States,,Indeed
49,Data Scientist,,"Currently a Masters higher education in a related field of study – e.g. Computer science, NLP and ML.We cater to all the flagship products, applications and…","Waltham, MA 02451",,Indeed
50,Data Science professor,,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…","Montgomery County, MD",,Indeed
51,Data Scientist,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…","Washington, DC 20037 (West End area)",,Indeed
52,Data Scientist,,We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problems…,"Salt Lake City, UT","$68,162.00 ",Indeed
53,Data Engineer,Remote,Collaborate with Data Architecture and other Data Engineering groups maintaining a focus on operationalizing data flows in the service of data science and…,"Chicago, IL•Remote",,Indeed
54,Data Analyst ,,Our R&D group helps shape the Baseball Operations decision-making processes through the analysis and interpretation of data.Experience with R or Python.,"Saint Petersburg, FL 33705",,Indeed
55,Data Scientist,,Candidates must be proficient in programming using python and associated machine learning libraries and packages and have experience in the application of…,"Charlottesville, VA",,Indeed
56,Data Analyst ,Remote,Use your understanding of the intelligence analysis process as a defense SME to translate complex data science approaches to solutions into meaningful…,Remote•Remote,,Indeed
57,Data Scientist,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","Seattle, WA",,Indeed
58,Data Analyst ,,"Ensures business data and analysis requirements are met by properly applying data concepts, including data structures, collection and cleansing, and structured…","Augusta, GA",,Indeed
59,Data Analyst ,,Deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers.Business level fluency in English.,"Cambridge, MA",,Indeed
60,Data Scientist,,"All specialization areas in Data Science will be considered, however, preferred areas of expertise are data mining and visualization, cloud computing,…","Rockville Centre, NY 11571",,Indeed
61,Data Scientist,,"Collaborate with an interdisciplinary team of software engineers and data scientists on cross-functional projects, interpreting data, and translating into…","Menlo Park, CA",,Indeed
62,Machine learning Engineer,,"PhD in applied mathematics, computational science or engineering.Knowledge and expertise in computational science and code development.","Livermore, CA 94551",,Indeed
63,Data Scientist,,"Ability to pursue a career in data science.You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends,…","McLean, VA 22102",,Indeed
64,Postdoctoral Researcher,,"In addition to a quantitative background, the selected candidates will ideally have one or more of the following attributes: a) a strong background in physical…","Princeton, NJ 08544",,Indeed
65,Data Analyst ,Remote,Locates and acquires data from existing data locations as needed to support analytics and reporting.Education focused in data and analytics.,"Waterloo, IA 50704•Remote",,Indeed
66,Machine learning Engineer,,"This role focuses on language data, primarily in the areas of writing and general data analysis deliverables.Writing high-quality and engaging copy.","Santa Barbara, CA",,Indeed
67,Data Scientist,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)",,Indeed
68,Machine learning Engineer,Remote,"Work with the Application Development team to implement data strategies, build data flows and develop conceptual data models.","Charlotte, NC 28201 (Myers Park area)•Remote",,Indeed
69,Data Science professor,,"We seek applicants in all content areas related to data science including data analysis, programming, statistics, machine learning and visualization.","San Diego, CA",,Indeed
70,Data Science professor,,Integrate advances in diverse fields of machine learning and computer science into modern analytics infrastructure and workflows.,"Winston-Salem, NC 27104",,Indeed
71,Data Scientist,,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,"Morrisville, NC 27560",,Indeed
72,Postdoctoral Researcher,,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…","San Francisco, CA 94105 (Financial District area)",,Indeed
73,Data Scientist,,"A blend of data science capability, consulting expertise and industry experience (e.g. retail, CPG & loyalty), experienced storyteller with data and…","Philadelphia, PA 19103+2 locations (Logan Square area)",,Indeed
74,Data Analyst ,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…","Houston, TX 77030 (Medical Center Area area)",,Indeed
75,Data Science professor,,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720","$112,078.50 ",Indeed
76,Data Scientist,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)",,Indeed
77,Machine learning Engineer,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…","Charlotte, NC 28202 (Third Ward area)",,Indeed
78,Data Analyst ,,"We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Columbus, OH",,Indeed
79,Data Scientist,Remote,Create our data science content roadmap and be able to communicate our goals to key internal and external stakeholders and implement feedback on an ongoing…,Remote•Remote,,Indeed
80,Data Scientist,,"We also offer many company-sponsored classes and conferences that focus on data science, ML, and engineering excellence.","Redmond, WA 98052+3 locations (Overlake area)",,Indeed
81,Data Scientist,,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Santa Monica, CA",,Indeed
82,Data Scientist,,Work closely with data scientists and analysts to design and develop data mining and machine.Distributed data systems such as Hadoop and Spark.,"Champaign, IL",,Indeed
83,Data Engineer,Remote,"Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights visually in a meaningful way.",Remote+5 locations•Remote,,Indeed
84,Data Scientist,,"You will work closely with marketing, product, science and software teams to uncover insights and enable data-driven decision making across all areas of the…","San Francisco, CA",,Indeed
85,Data Analyst ,,Maintain and document work associated with analyses and data science products.Collect and process data to perform statistical analyses.,"Foxborough, MA 02035",,Indeed
86,Data Scientist,,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN","$114,660.00 ",Indeed
87,Data Science professor,Remote,Has solid data science industry experience.Preferably has teaching experience alongside data science.Is a data scientist with outstanding knowledge of and…,Remote•Remote,,Indeed
88,Data Scientist,Remote,Experience in sharing data science/machine learning experiment results with both technical and business oriented people.Identify and propose new use cases.,Remote•Remote,,Indeed
89,Data Scientist,,Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop processes and tools to monitor and analyze model performance…,"Dodgeville, WI 53595",,Indeed
90,Data Engineer,,"We are a passionate, diverse team looking for data science professionals who can help us re-envision insurance in light of technical, societal, and consumer…","Chicago, IL","$191,000.00 ",Indeed
91,Data Scientist,Remote,Perform analyses on large sets of data to extract actionable insights that will help drive product decisions.Possess statistical competence (such as regression…,"New York, NY•Remote",,Indeed
92,Statistician,Remote,Performs data conversions to review calculations and averages to ensure publishable data.Performs data collection and survey processing activities.,"Reston, VA•Remote","$45,638.00 ",Indeed
93,Data Scientist,,"1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.","Portland, OR 97209 (Pearl District area)",,Indeed
94,Data Scientist,,"You will have access to Princeton's first-class resources, the opportunity to co-author academic publications, to offer short courses and workshops on data…","Princeton, NJ 08544",,Indeed
95,Data Engineer,,"This position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…","Richmond, VA",,Indeed
96,Data Scientist,,,"Seattle, WA",,Indeed
97,Data Science professor,Remote,Emphasis is on the role of data in developing business strategy.Course explores the use of insights obtained from data to develop solutions to competitive…,"Superior, WI•Remote",,Indeed
98,Data Analyst ,,"Project and/or classroom experience in areas like data analysis, optimization, machine learning, supply chain management, pricing and promotion analysis,…","San Francisco, CA+4 locations",,Indeed
99,Data Scientist,Remote,Experience working with sensitive or personally identifiable data and handling associated governance issues.Analytical or Research experience from any relevant…,Remote•Remote,,Indeed
100,Data Scientist,,Knowledge of statistics or data visualization is a plus.Understanding the data which our clients provide to us;,"San Mateo, CA+1 location",,Indeed
101,Postdoctoral Researcher,,UMSI has an immediate need for Instructional Aides to support our online Masters of Applied Data Science program.Administer and grade assignments using rubric.,"Ann Arbor, MI 48109",,Indeed
102,Data Scientist,,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.Implement best practices for data performance, automation, compliance,…","Eagan, MN",,Indeed
103,Data Science professor,,"Engage in the classroom and reply to emails, students’ questions, etc. within 24 hours on non-holiday weekdays.Be a faculty leader in your classes.",United States,,Indeed
104,Data Scientist,Remote,"Design and implement model features using administrative claims data, engagement data, and other data sources.Experience with healthcare data is a plus.",New York State•Remote,,Indeed
105,Statistician,,"Part-time Faculty Mathematics, Statistics and/or Data Science Instructor.**Montgomery College accepts applications for Adjunct/Part-time Faculty on a…","Montgomery County, MD",,Indeed
106,Data Scientist,,"Establish links across existing data sources and find new, interesting data correlations.Strong knowledge of core computer science principles including…","Stamford, CT",,Indeed
107,Data Scientist,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.","Toledo, OH 43615+1 location (Reynolds Corners area)",,Indeed
108,Data Analyst ,,"Engage with domain experts to define requirements for data science solutions, define and develop alternative approaches, training data creation and curation,…","Creve Coeur, MO",,Indeed
109,Data Scientist,,"Significant data science or computer science expertise.They have expertise in cloud-based data management and analysis, conservation science workflows, and…","Washington, DC 20037 (West End area)",,Indeed
110,Data Analyst ,,Computer Sciences degree with data analysis/data science concentration.Review/QC data to ensure accuracy of attribution reports.,"Nashville, TN",,Indeed
111,Data Scientist,,Identify potential issues in data acquisition from the LC-MS instruments.BS Degree in physical or mathematical science or equivalent STEM degree.,"Morrisville, NC 27560",,Indeed
112,Data Scientist,,"Analyzes and models structured data and implements algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine…","Fort Wayne, IN 46845",,Indeed
113,Data Scientist,,"Understanding of high performance algorithms and R statistical software ; Experience in industry data science (e.g., machine learning, predictive maintenance);…","Dayton, OH",,Indeed
114,Postdoctoral Researcher,,"Opportunity to mentor or co-mentor graduate students on industry practicum projects, which will expose the fellow to practical data science problems in industry…","San Francisco, CA 94105 (Financial District area)",,Indeed
115,Statistician,,"You will be part of an experienced software development team and will be asked to solve challenging 3D problems that will impact how dentist scan, design, and…","Richardson, TX",,Indeed
116,Data Analyst ,,"Collects and enters patient's data into database including: demographic, outcomes data, and assessment data.Utilizes motivational techniques to assist patients…","Houston, TX 77030 (Medical Center Area area)",,Indeed
117,Data Science professor,,"Research design and data analysis.Our MIDS program trains data scientists to manage and analyze the coming onslaught of big data, in a unique high-touch online…","Berkeley, CA 94720","$112,078.50 ",Indeed
118,Data Analyst ,,"Assists in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement.","Austin, TX 78756 (Brentwood area)","$77,862.00 ",Indeed
119,Machine learning Engineer,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","Miami, FL 33126+7 locations (Flagami area)",,Indeed
120,Data Scientist,,Experience sourcing data for modeling from a star schema data warehousing architecture and feature engineering using SQL.,"Columbus, OH",,Indeed
121,Data Scientist,,"Serve as a data science and analytics team lead in a highly matrixed research environment, and as a data science project lead on multidisciplinary teams that…","Philadelphia, PA 19146 (Graduate Hospital area)",,Indeed
122,Data Analyst ,,These systems should be designed to scale with exponential growth in data and run continuously.You will be designing analytic applications that capture data…,"Irvine, CA",,Indeed
123,Machine learning Engineer,,"Required Skills4 - 6 years of professional experience in NLP programmingNLP programming in R and or Python / AnacondaHeavy programming skills; linguistics, text…","Charlotte, NC 28202 (Third Ward area)",,Indeed
124,Data Scientist,,"Attention to detail, self-motivation, flexibility, and resilience are critical and data visualization skills are a plus.","Fort Meade, MD","$93,056.00 ",Indeed
125,Postdoctoral Researcher,,This person will conduct research that uses big data including text corpuses and theory-based as well as data-based (machine learning) interpretation of such…,"Princeton, NJ 08544",,Indeed
126,Data Scientist,,Perform demographic data analyses to showcase the characteristics of specific data sets to convey the benefits of using the different data sets.,"New York, NY 10029 (East Harlem area)",,Indeed
127,Machine learning Engineer,Remote,"Supervising the data acquisition process if more data is needed.Verifying data quality, and/or ensuring it via data cleaning.Analysis- 50% of the time.",Remote•Remote,"$146,250.00 ",Indeed
128,Data Engineer,,Experience with common data science toolkits such as R & Python.Ensure data integrity through testing of results.Proficient using query languages such as SQL.,"Raymond, OH 43067",,Indeed
129,Machine learning Engineer,Remote,"You will be working closely with our data science, product, engineering and care teams.Dig into data with ad hoc analysis as necessary for technical, clinical,…",Remote•Remote,,Indeed
130,Machine learning Engineer,,Strong background in algorithms and data structures.Utilizing Spark Hadoop MapReduce Hive Impala to perform distributed data processing pipelines.,"Santa Clara Valley, CA 95014",,Indeed
131,Data Scientist,,You have experience building and leading large and geographically distributed data science teams (100+).You have a deep technical background in applied data…,"Los Gatos, CA",,Indeed
132,Data Scientist,Remote,"Experience and training in data science.The position participates as a member of the data science team in identifying and analyzing school data, proprietary…",Remote•Remote,,Indeed
133,Data Scientist,Remote,Advise analysts and non-technical teams on issues where data science can make an impact.The key concerns of the data science team range from predicting the…,Remote•Remote,,Indeed
134,Data Scientist,,"Experience performing data extraction, cleaning, analysis and presentation for medium to large datasets.Work cross-functionally to define problem statements,…","Menlo Park, CA 94025+2 locations",,Indeed
135,Data Analyst ,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States,,Indeed
136,Data Scientist,,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,"Redmond, WA 98052 (Overlake area)",,Indeed
137,Postdoctoral Researcher,Remote,"Being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers.",Remote•Remote,"$100,000.00 ",Indeed
138,Data Scientist,,"As a Recruiting Lead on our Data Science Sourcing & Recruiting Teams, you will work closely with recruiting and sourcing leaders, Data Science business leaders…","Menlo Park, CA 94025+11 locations",,Indeed
139,Data Scientist,,Transform data science protypes and applying appropriate ML algorithms and tools.Build data APIs and data delivery services that support critical operational…,"Atlanta, GA",,Indeed
140,Data Scientist,,"Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.","Toledo, OH 43615+1 location (Reynolds Corners area)",,Indeed
141,Data Scientist,,Leverages data science methodology to solve complex business problems.Partners with less experienced employees on data science tools and methodologies.,"Columbus, IN",,Indeed
142,Data Scientist,Remote,Knowledge of data science technical stacks.Dealing with the flood of sensor data requires us to build large-scale systems that ride the big data wave rather…,Remote•Remote,,Indeed
143, Consultant ,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…","San Francisco, CA+1 location",,Indeed
144,Data Scientist,,Provide business ownership for the Statistical Tools and Data Analysis across the GSP data sciences efforts.In this vital role you will be a hands on technical…,"Thousand Oaks, CA",,Indeed
145,Data Science professor,,The Department of Data Science and Business Analytics at Florida Polytechnic University invites applications for a visiting assistant professor position…,"Lakeland, FL 33805",,Indeed
146,Machine learning Engineer,,Strong Computer Science fundamentals including familiarity with basic algorithms and data structures.Strong object-oriented programming and design skills.,"Seattle, WA",,Indeed
147,Data Scientist,,Experience learning and applying state-of-the-art practices and methodologies for data disclosure including differential privacy and synthetic data generation.,"Washington, DC 20004 (Penn Quarter area)",,Indeed
148,Postdoctoral Researcher,,Experience with the modeling and analysis of 3D geometrical data using standard algebraic and/or quaternion-based methods.,"Redmond, WA",,Indeed
149,Data Science professor,,"Collaborative efforts between math, science, and education faculty recently led to the funding of two major grants (a UTeach replication grant worth up to $1.4…","Columbus, GA 31907",,Indeed
150,Data Science professor,,"Data science, and cybersecurity and graduate programs in data science, cyber security, and cyber risk.Terminal degree in data science, computer science, or a…","Erie, PA 16546",,Indeed
151,Statistician,,"You will work in the Oncology Programming department that oversees and delivers global programming aspects of clinical development, leads and maintains the end…","Gaithersburg, MD 20878+1 location",,Indeed
152, Data Scientist,,"You are a software engineer with an interest in modern user interfaces, data science, machine learning, search, or recommendation systems.","Irvine, CA",,Indeed
153,Data Scientist,,"Document data sources, data definitions, strategies, models and policies.Strong data querying skills using SQL, hands-on data analysis experience using SAS or…","Beaverton, OR 97006 (Triple Creek area)",,Indeed
154,Data Science professor,,Purdue University's Department of Computer and Information Technology invites applications for (2) Tenure Track Faculty positions at the rank of Assistant…,"West Lafayette, IN 47906",,Indeed
155,Data Engineer,,"This role requires deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and…","Franklin Lakes, NJ",,Indeed
156,Data Scientist,,Work with Data Engineering to keep abreast of data enrichment including first and third party data.Develop profit optimization models with data and through…,"Bloomfield, CT",,Indeed
157,Data Scientist,,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","Seattle, WA",,Indeed
158,Data Scientist,Remote,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,"Lexington, KY•Remote","$71,728.50 ",Indeed
159,Data Scientist,,"In this role, you will work with time-series data from multiple sensors, build data and machine learning pipelines, help integrate models on-device to power new…","Seattle, WA",,Indeed
160,Machine learning Engineer,,"An expert Cloud data /ML engineer with an eye for AI.Minimum 1 year of design and implementation (building, containerizing and deploying end to end automated…","Irving, TX 75039+7 locations (Las Colinas Urban Center area)",,Indeed
161,Data Scientist,,"Develop, document and maintain analytic data files.Demonstrated experience in large-scale data management.Master's Degree in Statistics, Biostatistics, Data…","Minneapolis, MN",,Indeed
162,Data Analyst ,,"Noblis is looking for cleared candidates to fill IT positions at varying levels with program management, systems engineering, information security, and data…","Huntsville, AL",,Indeed
163,Data Engineer,,"Minimum of two years of experience in one or more of the following areas:- Business Translator (identifying business problem, initiative, analytics intervention…","Irving, TX 75039+5 locations (Las Colinas Urban Center area)",,Indeed
164,Data Scientist,,Experience in data engineering a plus.Tableau / data visualization experience a plus.The candidate will also produce creative solutions to complex business…,"Parsippany, NJ 07054",,Indeed
165,Data Analyst ,,Have confirmed history from school or work experience that demonstrates an ability to lead a data science or analytics.,"Cincinnati, OH 45201 (Central Business District area)",,Indeed
166,Machine learning Engineer,,Demonstrated experience working with and updating cached data.Required SkillsBachelors Degree in Computer Science/ related degree or Equivalent working…,"Pennington, NJ 08534",,Indeed
167,Data Scientist,Remote,"6+ years of industry experience in predictive modeling, data science, and analysis.Experience handling terabyte size datasets, diving into data to discover…",Remote•Remote,,Indeed
168,Data Scientist,,"You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data, identify targets for…","Seattle, WA",,Indeed
169,Data Scientist,,"Experience working with publicly available socio-demographic data, including US Census data, local government data, and publicly available geographic data.","McLean, VA",,Indeed
170,Data Scientist,,"Generate insights from diverse data types, including physiological waveforms, bedside monitoring data, and data from electronic medical records.","Cambridge, MA 02141 (East Cambridge area)",,Indeed
171,Data Scientist,Remote,Manipulate and / or build query statements to perform data extracts across multiple data sets and platforms.To translate data into intelligence.,Remote•Remote,,Indeed
172,Data Scientist,,"3+ years of experience in a data science capacity or the equivalent academic experience.Experience with systems-level data science toolkits (scikit-learn,…","Miami, FL",,Indeed
173,Statistician,,Review case report forms to ensure appropriate data collection.Review edit checks algorithm to ensure data quality for statistical analyses.,"San Diego, CA",,Indeed
174,Data Scientist,,A team of data scientists and data engineers.Be part of and lead team of data scientists and data engineers.Knowledge of computer science concepts.,"San Francisco, CA",,Indeed
175,Data Scientist,Remote,At least 1 year of solid data science industry experience.Improving our data engineering and workflow.Metis Data Scientists provide incredible and inspiring…,Remote•Remote,,Indeed
176,Data Scientist,,2 years of experience in data science or advanced analytics in industry.The primary purpose of this role is to provide advanced analytical capabilities to…,"Charlotte, NC 28202 (Downtown Charlotte area)",,Indeed
177,Statistician,Remote,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…","Anchorage, AK•Remote","$115,575.50 ",Indeed
178,Data Scientist,,"PhD degree in a quantitative field (computer science, electrical engineering, mathematics, physics, or similar).Fluency in written and spoken English.","Seattle, WA",,Indeed
179,Data Scientist,,"Hands-on experience with data science platforms, e.g., H2O, Databricks, Domino Data etc. is a plus.Managing and leading a team of data scientists will be a…","Birmingham, AL",,Indeed
180,Data Analyst ,,"Intermediate Excel skills Desire to continue to improve computational, statistical, behavioral and data science skills.Knowledge of R is a plus.",United States,,Indeed
181,Machine learning Engineer,,"Ph.D. in computational biology, chemical engineering, computer science, physical or biological sciences, machine learning, or related discipline.","Cambridge, MA",,Indeed
182,Data Scientist,,Perform analysis on large sets of data to extract impactful insights that will help drive product decisions.Possess statistical competence (such as regression…,"New York, NY",,Indeed
