title,description,state,job_site,jobtype
Machine Learning,"3+ years data management, including multiple data sources which refresh frequently. Experience with analysis and summary of health insurance markets, plan data,â€¦",DC,Simplyhired,
Data Scientist,Makes arrangements preparatory to obtaining voluntary data from enterprises for which the collection of data is expected to present relatively few complexitiesâ€¦,MA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Data Analyst,Define metrics to measure the quality of data and overall effectiveness of the data governance program over time Partner with the data engineering and dataâ€¦,,Simplyhired,Remote
Data Scientist ,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",CA,Simplyhired,
Data Engineer,"Understanding on databases, data warehouses, data lakes. Design, build and maintain data processing pipelines. Good communication and cross functional skills.",CA,Simplyhired,
Statistician,Strong data analysis and programming/simulation skills. Statistical data analysis: 3 years (Preferred). Provide statistical support including statistical designâ€¦,NJ,Simplyhired,
Data Scientist,Gathering data via advanced computerized models. Developing and revising existing data models. Extracting patterns of data through high-level algorithms.,VA,Simplyhired,
Data Scientist,Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.,MD,Simplyhired,
Data Engineer,"This role will have a deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniquesâ€¦",MD,Simplyhired,
Data Scientist,"Provide data science and advanced data analytics to support DHS OIG investigations. Transform strategic data requirements into data models, queries, and dataâ€¦",DC,Simplyhired,
Data Analyst,Create data visualizations via dashboarding and other custom reports. This role supports others on the team while learning to assess online data collectionâ€¦,CO,Simplyhired,
Data Analyst,Interpret and analyze data to accurately assess and demonstrate key insights into trends and opportunities. Trend Health Partners is currently seeking analystsâ€¦,MD,Simplyhired,
Data Scientist ,"Identify and validate data sources and pipelines, perform data manipulation routines, create new features, and perform feature selection techniques on complex,â€¦",CO,Simplyhired,
Data Analyst,"Structure and design data visualizations to communicate data to internal stakeholders, campaigns, and strategic partners.",DC,Simplyhired,
Data Analyst,"Manage, analyze, organize, and present complex data. Advanced knowledge of Excel (pivot tables, data mining, complex reporting). Remote or New Haven, CT - HQ*.",,Simplyhired,Remote
Data Scientist,Present information using data visualization techniques. Identify valuable data sources and automate collection processes. Analytical mind and business acumen.,,Simplyhired,Remote
Data Analyst,"You have a BA degree in computer science, data analytics, data science, data/information management, economics, or related field.",NY,Simplyhired,
Data Engineer,"Alongside, we plan to generate a portfolio of products and services related to decision making by corporate CFOs and fund CIOs, unavailable till now withoutâ€¦",PA,Simplyhired,
Data Analyst,*Job Description* We are looking for someone who loves teaching and also loves Python for data science. We are a group of passionate instructors who help ourâ€¦,,Simplyhired,Remote
Data Scientist ,We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problemsâ€¦,UT,Simplyhired,
Data Engineer,"Required: A bachelorâ€™s degree in data science, quantitative social sciences, planning, geography, statistics, or related field is required, with considerableâ€¦",NC,Simplyhired,
Data Scientist ,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinicalâ€¦,KY,Simplyhired,
Data Analyst,"Conduct data quality assurance activities, including the identification and resolution of data errors. Master's Degree or higher in statistics, data science,â€¦",GA,Simplyhired,
Data Scientist,"Experience with data science and machine learning analyses is a plus. Experience working with big data technologies is a plus (Hadoop, Spark).",,Simplyhired,Remote
Data Scientist,"We are seeking a senior *Individual life underwriter* with at least 10 years of experience in all three areas below: Job Types: Full-time, Part-time, Contract.",,Simplyhired,Remote
Data Analyst,"The Senior Data Analyst provides data management, data analysis, and development of data dashboards for all assigned evaluation and quality improvementâ€¦",NJ,Simplyhired,
Data Analyst,A love of data and the ability to take data and turn it into an insightful story and decisions. 10% - Develop and employ successful data driven strategies toâ€¦,,Simplyhired,Remote
Data Scientist ,"Identifying data needs and proper methods for data gathering, integration, preparation, data quality and data governance. Minimum of 7 years of experience with:",MD,Simplyhired,
Data Analyst,Must demonstrate the ability to collect and analyze data efficiently and work within established timelines. Assists with reviewing projects to identify criticalâ€¦,CA,Simplyhired,
Data Analyst,"Analyze data to identify and interpret patterns and trends, assess data quality and eliminate irrelevant data; present findings in reports and presentations inâ€¦",VA,Simplyhired,
Data Analyst,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data.",CA,Simplyhired,
Data Scientist ,Works with data stewards in the testing/profiling of data and validation of newly captured data to ensure proper operation and accuracy.,IL,Simplyhired,
Data Engineer,"Prior working experience at a Community College or University level in a content development/training/mentoring role is a must. Job Types: Full-time, Contract.",,Simplyhired,Remote
Data Analyst,Work with our data science and engineering teams to surface deep insights on voter behavior. At least one cycle or year of experience in politics or socialâ€¦,CA,Simplyhired,
Data Scientist,"Experience with building/tuning models inferencing against time series data. To create all quality documents, collect metrics data and conducting Audits.",NJ,Simplyhired,
Data Scientist,"Client side, server side and data store experience. Experience in building chatbots or voicebots with Dialogflow or Amazon LEX. Ability to write unit tests.",HI,Simplyhired,
Data Engineer,"Given a reference DNN design, adjust the DNN architecture such that operations or layers that are not supported on the target platform are replaced whileâ€¦",CA,Simplyhired,
Data Engineer,Should be able to manage the team to deliver the each release on time with sprint deadlines. Hands on advance level python Coding.,,Simplyhired,Remote
Data Scientist,This person will also be responsible for managing the team providing data pipeline work to the Unsupervised system. Working at Kanini is flexible and personal.,TN,Simplyhired,
Data Scientist ,"Work on data projects and proposals involving Biz2Creditâ€™s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)â€¦",NY,Simplyhired,
Data Analyst,"Bachelorsâ€™ degree in marketing, statistics, data science or business administration. 3+ yearsâ€™ in marketing and data analytics. Power BI: 2 years (Preferred).",OH,Simplyhired,
Data Engineer,"Plan data pipelines for live streams and data warehouses. You will work closely with data architects, other data engineers, data scientists, and businessâ€¦",,Simplyhired,Remote
Data Analyst,"Masterâ€™s degree in social science field with emphasis on quantitative and qualitative research and analysis or Masterâ€™s degree in information technology,â€¦",VA,Simplyhired,
Data Analyst,"Responsible for business analytics work through all phases, including data quality, automation, data analysis, data visualization, and presentation of results.",GA,Simplyhired,
Data Scientist ,This position will work on various business intelligence and data science projects by analyzing customer data and building machine learning applications forâ€¦,WI,Simplyhired,
Data Scientist ,"For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learningâ€¦",TX,Simplyhired,
Statistician,"Master's degree in information technology, computer science, information systems or equivalent field and two years of demonstrated experience with analysis,â€¦",FL,Simplyhired,
Data Scientist ,"Advanced data exploration and visualization skills. Bachelorâ€™s degree in any technical subject (e.g., computer science, engineering, physics, mathematics, etc).",,Simplyhired,Remote
Data Scientist,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Proven experience as a Data Scientist or Data Analyst.,TX,Simplyhired,
Data Scientist,Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis. We employ computer-based models and machine learningâ€¦,NY,Simplyhired,
Data Engineer,"Work experience related to data engineering, information, and data management. Data Engineers work with data consumers to create and populate optimal dataâ€¦",DC,Simplyhired,
Statistician,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches andâ€¦",AK,Simplyhired,
Data Scientist ,"Data science: 4 years (Required). One of the scripting language python etc. SQL and PL/SQL development, including code debugging, query analysis and performanceâ€¦",,Simplyhired,Remote
Data Analyst,"This Data Analyst will require significant experience analyzing data looking for basic patterns and performing business-rule data validation, then producingâ€¦",,Simplyhired,Remote
Data Scientist,"Provided architectural guidance around implementing parallelism, concurrency, security (authentication, authorization) on On-prem and Cloud based Data scienceâ€¦",NC,Simplyhired,
Data Engineer,"Knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programmingâ€¦",OH,Simplyhired,
Data Scientist ,"Directs the data gathering, data processing and data mining of large and complex datasets. Participates in the data gathering, data processing and data miningâ€¦",PA,Simplyhired,
Data Analyst,"Previous experience in political data. Previous experience crafting narratives from unstructured data. Collect, clean, and process data sets.",DC,Simplyhired,
Data Analyst,"Support the design of end-to-end data visualizations/Reporting solutions, from data extraction to the presentation, to address the clientsâ€™ needs.",CO,Simplyhired,
Data Analyst,"Masterâ€™s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data visualization is preferred.",DC,Simplyhired,
Data Scientist,Relevant experience in data analysis or data science projects with quick understanding of new technologies. Experience optimizing queries with large data setsâ€¦,MD,Simplyhired,
Data Scientist ,"Bachelorâ€™s degree in marketing, business, economics, data science or related field. The most successful candidates will have some capacity with beingâ€¦",TN,Simplyhired,
Data Analyst,"Proficient in data workflows, data collection methodologies, and data analysis. Work on data modeling, discovering insights and identifying opportunitiesâ€¦",DC,Simplyhired,
Data Engineer,"You will work directly with the technology, data science, and management teams. Using modern technologies for data science, AI and ML, we analyze behavioralâ€¦",,Simplyhired,Remote
Data Scientist,"Work closely with a data science team implementing data analytic pipelines. Work on ingesting, storing, processing and analyzing large data sets create scalableâ€¦",NY,Simplyhired,
Data Scientist,"Data analysis techniques (e.g., data mining and retrieval); Effective data management, data dissemination, and online on-demand practices.",MO,Simplyhired,
Statistician,Two years of experience as a data statistician preferred. Ability to write programs/macros to automate repetitive statistical and data tasks required.,CO,Simplyhired,
Data Analyst,"Comfortable working with data-related python and/or R packages for data cleaning and modeling. In this role, you will work with fellow data professionals,â€¦",,Simplyhired,
Data Engineer,"ML apps Strong computer science fundamentals including knowledge of data structures and algorithms, computational complexity, and object oriented/functionalâ€¦",GA,Simplyhired,
Data Analyst,"Strong in person and email communication skills, to tell data stories to non-technical audiences. In this role as an Operations Analyst, youâ€™ll support ourâ€¦",,Simplyhired,Remote
Data Scientist,"Clustering of mixed event, real time data in order to determine clear operating regimes. The event data is process alarms from a refinery, chemical plant orâ€¦",RI,Simplyhired,
Data Scientist ,Person may also be engaged to advice on related data science projects in that same domain. Data science: 4 years (Preferred). Machine Learning Nice to Have.,CA,Simplyhired,
Data Engineer,"Experience with data science, machine learning, and statistics. Identify the relationships among multiple sources and types of information to identifyâ€¦",NY,Simplyhired,
Data Engineer,"3+ years of experience in data science/management. Develop, containerize, and maintain customersâ€™ data science workflows. Familiarity with the XNAT platform.",,Simplyhired,Remote
Data Analyst,"Identify data requirements, data sources and standardize data across the organization. Demonstrates ability to review data, draw conclusions and recommendâ€¦",FL,Simplyhired,
Data Analyst,"BS Degree in data science, engineering, computer science, mathematics or related field with 2 or more years of related experience.",CO,Simplyhired,
Data Engineer,"> 3 years experience in processing data with Python, SQL, and other data tools. Processing data with Python, SQL, and other data tools: 2 years (Required).",,Simplyhired,Remote
Data Analyst,"Technical understanding of data models, database design, data mining and segmentation techniques. Knowledge of common web frameworks for data visualization suchâ€¦",FL,Simplyhired,
Data Analyst,"An absolute passion for data, data-science, visualization, and analytics. Coordinate with other teams and departments (e.g. Data Engineering, Revenue Operationsâ€¦",,Simplyhired,Remote
Data Analyst,"Write SQL queries for reporting, ETL, and general data analysis. Queries range in complexity depending on use case, but often require querying relational data.",PA,Simplyhired,
Data Analyst,"Bachelorâ€™s degree and/or advanced certification in computer science, data science, or similar technical field; or 4 years of experience using software for dataâ€¦",NC,Simplyhired,
Data Scientist ,Minimum four (4) years of experience developing data analytics or data science solutions. Ability to manipulate data from multiple structured and unstructuredâ€¦,SC,Simplyhired,
Data Engineer,"The Data Engineer will also be responsible for data architecture that defines data models for new systems, selecting the best data storage solution for a givenâ€¦",,Simplyhired,Remote
Data Scientist,2+ relevant experience within data science or analysis. The Data Scientist will join a team responsible for developing advanced analytics products; applyingâ€¦,VA,Simplyhired,
Data Analyst,"Working with large data sets and analyzing data from various sources. Human Resources processes and data. Interpreting, presenting and explaining data.",DC,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",CA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",CA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,PA,Simplyhired,
