title,description,city,state,job_site,jobtype,salary
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,46856
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,48641
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,50000
Machine Learning,We are seeking an experienced data scientist with skills and qualifications in analyzing and modeling geospatial data.,,,Simplyhired,Remote,50700
Data Engineer,Interview Query is a rapidly growing data science startup based out of San Francisco. Our mission is to help any aspiring data scientists land a job.â€¦,,,Simplyhired,Remote,50700
Data Engineer,"This role requires combined expertise in software development, programming, data science and data engineering. A.I. Software engineering: 5 years (Preferred).",Fort Wayne,IN,Simplyhired,,50700
Data Analyst,"Strong data visualization, data wrangling, and/or data mining skills using R. The Analytics Associate will use R to clean, mine, and assess large datasets inâ€¦",,,Simplyhired,,50700
Data Analyst,"Strong analytical skills with the ability to identify data trends. The Sales Forecast Analyst will review data provided by sales representatives, analyzing andâ€¦",Norcross,GA,Simplyhired,,50700
Data Analyst,The incumbent will support the Greenhouse Gas (GHG) initiatives within the agency by managing input data for emission estimation from multiple and disparateâ€¦,,,Simplyhired,,50700
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,50700
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",Santa Monica,CA,Simplyhired,,50700
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,51592
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,53086
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,54142
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,54600
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,55000
Data Engineer,"Support cloud migration of data science services Develop a deep understanding of business data sets Design efficient and standardized data structures, databaseâ€¦",Burlington,MA,Simplyhired,,55778
Machine Learning,"Experience with data manipulation within a large volume of data. Data science: 3 years (Required). Knowledge of statistics, analytics, and data mining.",Hanover,MD,Simplyhired,,58240
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,58500
Data Analyst,"Working with raw survey data to produce clean data sets for analysis and reporting. Do you bring a strong background in survey data principles, such as:",Chicago,IL,Simplyhired,,59500
Data Analyst,ï‚· Ability to input data and information into a data system. ï‚· Accurate data entry of participant information into the Well Family data system.,Gainesville,FL,Simplyhired,,60000
Data Analyst,"Utilizing programming languages (python, C#, java, etc.) to scrape data from websites. Rapidly growing, nationally recognized private wealth management firm isâ€¦",Charlotte,NC,Simplyhired,,60000
Machine Learning,"Performing quality control of curated data (data entered by third party); Masterâ€™s coursework in statistics, data science, machine learning, user experience andâ€¦",Research Triangle Park,NC,Simplyhired,,60000
Data Analyst,The Business Analystâ€™s role is focused on managing the offering setup process and assisting with the content delivery work that is necessary to release contentâ€¦,,,Simplyhired,Remote,60000
Machine Learning,Has solid data science industry experience. Preferably has teaching experience alongside data science. Is a data scientist with outstanding knowledge of andâ€¦,,,Simplyhired,Remote,60000
Statistician,"Our clients generate massive amounts of scientific data via varied high throughput technologies, and such projects require systematic analysis ofâ€¦",Research Triangle Park,NC,Simplyhired,,60000
Machine Learning,Proficient at creatively and efficiently developing data science solutions. Proficient with a wide variety of complex data science and engineering skills.,West Lafayette,IN,Simplyhired,,60000
Data Engineer,"Basic Understanding of data science concepts. 3+ Years of experience architecting and building Data Lake, Azure Big Data architecture, Enterprise Analyticsâ€¦",New York,NY,Simplyhired,,60000
Machine Learning,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a dataâ€¦",New York,NY,Simplyhired,,60000
Data Engineer,"The responsibilities will include management of regulatory protocols (IRB), acquisition of medical imaging and other data from medical records at Dukeâ€¦",Durham,NC,Simplyhired,,60000
Machine Learning,We are hiring candidates after their PhD degree and after an MS/MA degree. Machine Learning: 1 year (Required). Temporarily due to COVID-19.,Durham,NC,Simplyhired,,60598
Data Analyst,"Assist in training employees on data privacy and security topics. Create, maintain, and enforce internal data privacy and security policies.",New York,NY,Simplyhired,,62318
Machine Learning,Experience with data science tool kits. Identifies data patterns and trends. Participates and provides product guidance over data science and analyticsâ€¦,Glendale,CA,Simplyhired,,63919
Data Engineer,"Strong SQL and data analysis skills. 3+ years of experience in data/business/technical analysis, Strong SQL and data analysis skills, Excel wizard that dreamsâ€¦",,,Simplyhired,Remote,64137
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,64350
Statistician,Performs data conversions to review calculations and averages to ensure publishable data. Performs data collection and survey processing activities.,Reston,VA,Simplyhired,,64649
Statistician,QAQC of reported water quality data. Interpretation and formal presentation or data; Creation of schemas for water quality data reporting;,Baltimore,MD,Simplyhired,,65000
Data Analyst,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,Falls Church,VA,Simplyhired,,65000
Statistician,Specialized Experience: One and one-half (1 1/2) years for Level III and two and one-half (2-1/2) years for Level IV of professional work experience conductingâ€¦,Oahu Island,HI,Simplyhired,,65000
Machine Learning,"MyGuru, a boutique 1-1 tutoring and test prep provider, is seeking experienced a data science/machine learning tutor to join our team.",,,Simplyhired,Remote,65000
Machine Learning,Basic understanding of containerization and image management for data science notebooks. Interprets data and from multiple sources using a variety of analyticalâ€¦,Indianapolis,IN,Simplyhired,,65000
Data Analyst,"Experience in a data science, data analyst, business analytics, business intelligence or comparable role. Ability to communicate and provide meaningful businessâ€¦",,,Simplyhired,Remote,65000
Machine Learning,2+ years of experience using data analytics and statistics. Data science: 2 years (Required). Ensure overall quality of the data & solutions throughout theâ€¦,Dearborn,MI,Simplyhired,,65000
Machine Learning,"8+ years of OR, statistical or data mining algorithm development experience, including 5+ years of AI/ML development experience for real-world applications.",Atlanta,GA,Simplyhired,,65000
Data Engineer,Demonstrates solid data science knowledge. Designing and developing machine learning and deep learning systems. Running machine learning tests and experiments.,Bowie,MD,Simplyhired,,65000
Data Analyst,Disseminate data regarding data quality and system performance measures. Assists in monitoring and providing regular updates to the organizationâ€™s managementâ€¦,Orlando,FL,Simplyhired,,65267
Data Engineer,"Knowledge of data science concepts such as machine learning. Masterâ€™s degree in a physical science, engineering, data science or statistics from an accreditedâ€¦",,,Simplyhired,Remote,65597
Data Analyst,Identify gaps in our data collection and collaborate with Sales / Marketing / Finance on data capture specifications. Microsoft Powerpoint: 1 year (Preferred).,,,Simplyhired,Remote,66000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,66300
Data Analyst,Administer and process regular data updates such as the monthly seasonal adjusted NYC employment data. Assist other OMB groups and taskforces with economic dataâ€¦,Manhattan,NY,Simplyhired,,66691
Machine Learning,"3+ years data management, including multiple data sources which refresh frequently. Experience with analysis and summary of health insurance markets, plan data,â€¦",Washington,DC,Simplyhired,,68000
Data Scientist,Makes arrangements preparatory to obtaining voluntary data from enterprises for which the collection of data is expected to present relatively few complexitiesâ€¦,Boston,MA,Simplyhired,,68000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,68250
Data Analyst,Define metrics to measure the quality of data and overall effectiveness of the data governance program over time Partner with the data engineering and dataâ€¦,,,Simplyhired,Remote,70000
Data Scientist ,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",Santa Clara,CA,Simplyhired,,70000
Data Engineer,"Understanding on databases, data warehouses, data lakes. Design, build and maintain data processing pipelines. Good communication and cross functional skills.",Santa Clara,CA,Simplyhired,,70000
Statistician,Strong data analysis and programming/simulation skills. Statistical data analysis: 3 years (Preferred). Provide statistical support including statistical designâ€¦,New Brunswick,NJ,Simplyhired,,70000
Data Scientist,Gathering data via advanced computerized models. Developing and revising existing data models. Extracting patterns of data through high-level algorithms.,Arlington,VA,Simplyhired,,70000
Data Scientist,Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.,Rockville,MD,Simplyhired,,70000
Data Engineer,"This role will have a deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniquesâ€¦",Rockville,MD,Simplyhired,,70000
Data Scientist,"Provide data science and advanced data analytics to support DHS OIG investigations. Transform strategic data requirements into data models, queries, and dataâ€¦",Washington,DC,Simplyhired,,70000
Data Analyst,Create data visualizations via dashboarding and other custom reports. This role supports others on the team while learning to assess online data collectionâ€¦,Denver,CO,Simplyhired,,70000
Data Analyst,Interpret and analyze data to accurately assess and demonstrate key insights into trends and opportunities. Trend Health Partners is currently seeking analystsâ€¦,Hunt Valley,MD,Simplyhired,,70000
Data Scientist ,"Identify and validate data sources and pipelines, perform data manipulation routines, create new features, and perform feature selection techniques on complex,â€¦",Englewood,CO,Simplyhired,,70000
Data Analyst,"Structure and design data visualizations to communicate data to internal stakeholders, campaigns, and strategic partners.",Washington,DC,Simplyhired,,70150
Data Analyst,"Manage, analyze, organize, and present complex data. Advanced knowledge of Excel (pivot tables, data mining, complex reporting). Remote or New Haven, CT - HQ*.",,,Simplyhired,Remote,70700
Data Scientist,Present information using data visualization techniques. Identify valuable data sources and automate collection processes. Analytical mind and business acumen.,,,Simplyhired,Remote,70700
Data Analyst,"You have a BA degree in computer science, data analytics, data science, data/information management, economics, or related field.",New York,NY,Simplyhired,,70700
Data Engineer,"Alongside, we plan to generate a portfolio of products and services related to decision making by corporate CFOs and fund CIOs, unavailable till now withoutâ€¦",Philadelphia,PA,Simplyhired,,70700
Data Analyst,*Job Description* We are looking for someone who loves teaching and also loves Python for data science. We are a group of passionate instructors who help ourâ€¦,,,Simplyhired,Remote,70700
Data Scientist ,We're looking for individuals in the data science field with the requisite education and skills to provide data-driven insights and help solve complex problemsâ€¦,Salt Lake City,UT,Simplyhired,,70700
Data Engineer,"Required: A bachelorâ€™s degree in data science, quantitative social sciences, planning, geography, statistics, or related field is required, with considerableâ€¦",Durham,NC,Simplyhired,,70700
Data Scientist ,The Department of Biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinicalâ€¦,Lexington,KY,Simplyhired,,70700
Data Analyst,"Conduct data quality assurance activities, including the identification and resolution of data errors. Master's Degree or higher in statistics, data science,â€¦",Atlanta,GA,Simplyhired,,70700
Data Scientist,"Experience with data science and machine learning analyses is a plus. Experience working with big data technologies is a plus (Hadoop, Spark).",,,Simplyhired,Remote,70700
Data Scientist,"We are seeking a senior *Individual life underwriter* with at least 10 years of experience in all three areas below: Job Types: Full-time, Part-time, Contract.",,,Simplyhired,Remote,70700
Data Analyst,"The Senior Data Analyst provides data management, data analysis, and development of data dashboards for all assigned evaluation and quality improvementâ€¦",North Brunswick,NJ,Simplyhired,,70700
Data Analyst,A love of data and the ability to take data and turn it into an insightful story and decisions. 10% - Develop and employ successful data driven strategies toâ€¦,,,Simplyhired,Remote,70700
Data Scientist ,"Identifying data needs and proper methods for data gathering, integration, preparation, data quality and data governance. Minimum of 7 years of experience with:",Baltimore,MD,Simplyhired,,70700
Data Analyst,Must demonstrate the ability to collect and analyze data efficiently and work within established timelines. Assists with reviewing projects to identify criticalâ€¦,Los Angeles,CA,Simplyhired,,70700
Data Analyst,"Analyze data to identify and interpret patterns and trends, assess data quality and eliminate irrelevant data; present findings in reports and presentations inâ€¦",Chantilly,VA,Simplyhired,,70700
Data Analyst,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data.",Los Angeles,CA,Simplyhired,,70700
Data Scientist ,Works with data stewards in the testing/profiling of data and validation of newly captured data to ensure proper operation and accuracy.,Northbrook,IL,Simplyhired,,70700
Data Engineer,"Prior working experience at a Community College or University level in a content development/training/mentoring role is a must. Job Types: Full-time, Contract.",,,Simplyhired,Remote,70700
Data Analyst,Work with our data science and engineering teams to surface deep insights on voter behavior. At least one cycle or year of experience in politics or socialâ€¦,San Francisco,CA,Simplyhired,,70700
Data Scientist,"Experience with building/tuning models inferencing against time series data. To create all quality documents, collect metrics data and conducting Audits.",Rahway,NJ,Simplyhired,,70700
Data Scientist,"Client side, server side and data store experience. Experience in building chatbots or voicebots with Dialogflow or Amazon LEX. Ability to write unit tests.",Honolulu,HI,Simplyhired,,70700
Data Engineer,"Given a reference DNN design, adjust the DNN architecture such that operations or layers that are not supported on the target platform are replaced whileâ€¦",Fremont,CA,Simplyhired,,70700
Data Engineer,Should be able to manage the team to deliver the each release on time with sprint deadlines. Hands on advance level python Coding.,,,Simplyhired,Remote,70700
Data Scientist,This person will also be responsible for managing the team providing data pipeline work to the Unsupervised system. Working at Kanini is flexible and personal.,Nashville,TN,Simplyhired,,70700
Data Scientist ,"Work on data projects and proposals involving Biz2Creditâ€™s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)â€¦",New York,NY,Simplyhired,,70700
Data Analyst,"Bachelorsâ€™ degree in marketing, statistics, data science or business administration. 3+ yearsâ€™ in marketing and data analytics. Power BI: 2 years (Preferred).",Worthington,OH,Simplyhired,,70700
Data Engineer,"Plan data pipelines for live streams and data warehouses. You will work closely with data architects, other data engineers, data scientists, and businessâ€¦",,,Simplyhired,Remote,70700
Data Analyst,"Masterâ€™s degree in social science field with emphasis on quantitative and qualitative research and analysis or Masterâ€™s degree in information technology,â€¦",Richmond,VA,Simplyhired,,70700
Data Analyst,"Responsible for business analytics work through all phases, including data quality, automation, data analysis, data visualization, and presentation of results.",Atlanta,GA,Simplyhired,,70700
Data Scientist ,This position will work on various business intelligence and data science projects by analyzing customer data and building machine learning applications forâ€¦,Madison,WI,Simplyhired,,70700
Data Scientist ,"For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learningâ€¦",Dallas,TX,Simplyhired,,70700
Statistician,"Master's degree in information technology, computer science, information systems or equivalent field and two years of demonstrated experience with analysis,â€¦",Tampa,FL,Simplyhired,,70700
Data Scientist ,"Advanced data exploration and visualization skills. Bachelorâ€™s degree in any technical subject (e.g., computer science, engineering, physics, mathematics, etc).",,,Simplyhired,Remote,70700
Data Scientist,Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop). Proven experience as a Data Scientist or Data Analyst.,Dallas,TX,Simplyhired,,70700
Data Scientist,Orsus Research is a Quantitative Investment Firm that selects securities based on quantitative analysis. We employ computer-based models and machine learningâ€¦,New York,NY,Simplyhired,,70700
Data Engineer,"Work experience related to data engineering, information, and data management. Data Engineers work with data consumers to create and populate optimal dataâ€¦",Washington,DC,Simplyhired,,70700
Statistician,"Experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches andâ€¦",Anchorage,AK,Simplyhired,,70700
Data Scientist ,"Data science: 4 years (Required). One of the scripting language python etc. SQL and PL/SQL development, including code debugging, query analysis and performanceâ€¦",,,Simplyhired,Remote,70700
Data Analyst,"This Data Analyst will require significant experience analyzing data looking for basic patterns and performing business-rule data validation, then producingâ€¦",,,Simplyhired,Remote,70700
Data Scientist,"Provided architectural guidance around implementing parallelism, concurrency, security (authentication, authorization) on On-prem and Cloud based Data scienceâ€¦",Matthews,NC,Simplyhired,,70700
Data Engineer,"Knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programmingâ€¦",Blue Ash,OH,Simplyhired,,70700
Data Scientist ,"Directs the data gathering, data processing and data mining of large and complex datasets. Participates in the data gathering, data processing and data miningâ€¦",Pittsburgh,PA,Simplyhired,,70700
Data Analyst,"Previous experience in political data. Previous experience crafting narratives from unstructured data. Collect, clean, and process data sets.",Washington,DC,Simplyhired,,70700
Data Analyst,"Support the design of end-to-end data visualizations/Reporting solutions, from data extraction to the presentation, to address the clientsâ€™ needs.",Denver,CO,Simplyhired,,70700
Data Analyst,"Masterâ€™s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data visualization is preferred.",Washington,DC,Simplyhired,,70700
Data Scientist,Relevant experience in data analysis or data science projects with quick understanding of new technologies. Experience optimizing queries with large data setsâ€¦,Bethesda,MD,Simplyhired,,70700
Data Scientist ,"Bachelorâ€™s degree in marketing, business, economics, data science or related field. The most successful candidates will have some capacity with beingâ€¦",Franklin,TN,Simplyhired,,70700
Data Analyst,"Proficient in data workflows, data collection methodologies, and data analysis. Work on data modeling, discovering insights and identifying opportunitiesâ€¦",Washington,DC,Simplyhired,,70700
Data Engineer,"You will work directly with the technology, data science, and management teams. Using modern technologies for data science, AI and ML, we analyze behavioralâ€¦",,,Simplyhired,Remote,70700
Data Scientist,"Work closely with a data science team implementing data analytic pipelines. Work on ingesting, storing, processing and analyzing large data sets create scalableâ€¦",New York,NY,Simplyhired,,70700
Data Scientist,"Data analysis techniques (e.g., data mining and retrieval); Effective data management, data dissemination, and online on-demand practices.",Arnold,MO,Simplyhired,,70700
Statistician,Two years of experience as a data statistician preferred. Ability to write programs/macros to automate repetitive statistical and data tasks required.,Denver,CO,Simplyhired,,70700
Data Analyst,"Comfortable working with data-related python and/or R packages for data cleaning and modeling. In this role, you will work with fellow data professionals,â€¦",,,Simplyhired,,70700
Data Engineer,"ML apps Strong computer science fundamentals including knowledge of data structures and algorithms, computational complexity, and object oriented/functionalâ€¦",Alpharetta,GA,Simplyhired,,70700
Data Analyst,"Strong in person and email communication skills, to tell data stories to non-technical audiences. In this role as an Operations Analyst, youâ€™ll support ourâ€¦",,,Simplyhired,Remote,70700
Data Scientist,"Clustering of mixed event, real time data in order to determine clear operating regimes. The event data is process alarms from a refinery, chemical plant orâ€¦",West Kingston,RI,Simplyhired,,70700
Data Scientist ,Person may also be engaged to advice on related data science projects in that same domain. Data science: 4 years (Preferred). Machine Learning Nice to Have.,Sunnyvale,CA,Simplyhired,,70700
Data Engineer,"Experience with data science, machine learning, and statistics. Identify the relationships among multiple sources and types of information to identifyâ€¦",New York,NY,Simplyhired,,70700
Data Engineer,"3+ years of experience in data science/management. Develop, containerize, and maintain customersâ€™ data science workflows. Familiarity with the XNAT platform.",,,Simplyhired,Remote,70700
Data Analyst,"Identify data requirements, data sources and standardize data across the organization. Demonstrates ability to review data, draw conclusions and recommendâ€¦",Orlando,FL,Simplyhired,,70700
Data Analyst,"BS Degree in data science, engineering, computer science, mathematics or related field with 2 or more years of related experience.",Denver,CO,Simplyhired,,70700
Data Engineer,"> 3 years experience in processing data with Python, SQL, and other data tools. Processing data with Python, SQL, and other data tools: 2 years (Required).",,,Simplyhired,Remote,70700
Data Analyst,"Technical understanding of data models, database design, data mining and segmentation techniques. Knowledge of common web frameworks for data visualization suchâ€¦",Miami,FL,Simplyhired,,70700
Data Analyst,"An absolute passion for data, data-science, visualization, and analytics. Coordinate with other teams and departments (e.g. Data Engineering, Revenue Operationsâ€¦",,,Simplyhired,Remote,70700
Data Analyst,"Write SQL queries for reporting, ETL, and general data analysis. Queries range in complexity depending on use case, but often require querying relational data.",Philadelphia,PA,Simplyhired,,70700
Data Analyst,"Bachelorâ€™s degree and/or advanced certification in computer science, data science, or similar technical field; or 4 years of experience using software for dataâ€¦",Raleigh,NC,Simplyhired,,70700
Data Scientist ,Minimum four (4) years of experience developing data analytics or data science solutions. Ability to manipulate data from multiple structured and unstructuredâ€¦,North Charleston,SC,Simplyhired,,70700
Data Engineer,"The Data Engineer will also be responsible for data architecture that defines data models for new systems, selecting the best data storage solution for a givenâ€¦",,,Simplyhired,Remote,70700
Data Scientist,2+ relevant experience within data science or analysis. The Data Scientist will join a team responsible for developing advanced analytics products; applyingâ€¦,Herndon,VA,Simplyhired,,70700
Data Analyst,"Working with large data sets and analyzing data from various sources. Human Resources processes and data. Interpreting, presenting and explaining data.",Washington,DC,Simplyhired,,70700
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,70700
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,70867
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,72000
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,72700
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,72750
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,72849
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,73530
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,74100
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,75000
Data Analyst,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Santa Monica,CA,Simplyhired,,76050
Statistician,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting ofâ€¦,Collegeville,PA,Simplyhired,,76440
